term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Concentric sclerosis,,,,,,,,
Conjunctivitis lignose,,,,,,,,
Continuous muscle fiber activity syndrome,mondo:0019399,,,,prefix='mondo' identifier='0019399' name='Isaac syndrome',,,
Corneal Ulcer,mondo:0004577,,,doid:8463,prefix='mondo' identifier='0004577' name='corneal ulcer',,,prefix='doid' identifier='8463' name='corneal ulcer'
COVID Long-Hauler,,,,,,,,
Coxsackie myocarditis,,,,,,,,
c-PAN,,,,,,,,
Cranial arteritis,mondo:0008538,,,,prefix='mondo' identifier='0008538' name='temporal arteritis',,,
CREST syndrome,mondo:0019563,,,doid:0060218,prefix='mondo' identifier='0019563' name='CREST syndrome',,,prefix='doid' identifier='0060218' name='CREST syndrome'
Crohn's colitis,mondo:0005532,,,doid:0060192,"prefix='mondo' identifier='0005532' name=""Crohn's colitis""",,,"prefix='doid' identifier='0060192' name=""Crohn's colitis"""
Crohn's granulomatous,,,,,,,,
Crow-Fukase syndrome,mondo:0017364,,,,prefix='mondo' identifier='0017364' name='POEMS syndrome',,,
Cryoglobulinemic Vasculitis,mondo:0007407,,,,prefix='mondo' identifier='0007407' name='Cryoglobulinemic vasculitis',,,
Cutaneous Leukocytoclastic vasculitis,mondo:0019509,,,,prefix='mondo' identifier='0019509' name='cutaneous leukocytoclastic angiitis',,,
Cyclochorioretinitis,,,,,,,,
Dancing eye syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Dancing eye-dancing feet syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
dcSSc,mondo:0016356,,,,prefix='mondo' identifier='0016356' name='diffuse cutaneous systemic sclerosis',,,
Delayed postmyocardial infarction syndrome,,,,,,,,
Dercum's disease,mondo:0007070,,,,prefix='mondo' identifier='0007070' name='adiposis dolorosa',,,
Devic's disease,mondo:0019100,,,doid:8869,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,prefix='doid' identifier='8869' name='neuromyelitis optica'
Devic's syndrome,mondo:0019100,,,doid:8869,prefix='mondo' identifier='0019100' name='neuromyelitis optica',,,prefix='doid' identifier='8869' name='neuromyelitis optica'
DH,mondo:0011024,uberon:0002954,,,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",prefix='uberon' identifier='0002954' name='dorsal hypothalamic area',,
Diffuse cutaneous systemic sclerosis,mondo:0016356,,,,prefix='mondo' identifier='0016356' name='diffuse cutaneous systemic sclerosis',,,
Diffuse interstitial keratitis,mondo:0001694,,,doid:13353,prefix='mondo' identifier='0001694' name='diffuse interstitial keratitis',,,prefix='doid' identifier='13353' name='diffuse interstitial keratitis'
Diffuse Systemic sclerosis,mondo:0005019,,,doid:1580,prefix='mondo' identifier='0005019' name='diffuse scleroderma',,,prefix='doid' identifier='1580' name='diffuse scleroderma'
Dilated cardiomyopathy,mondo:0005021,,,doid:12930,prefix='mondo' identifier='0005021' name='dilated cardiomyopathy',,,prefix='doid' identifier='12930' name='dilated cardiomyopathy'
Discoid lupus,,,,,,,,
Discoid lupus erythematosus,mondo:0019558,,,,prefix='mondo' identifier='0019558' name='discoid lupus erythematosus',,,
Discoid lupus erythematosus of oral mucosa,,,,,,,,
Disseminated sclerosis,mondo:0007462,,,,"prefix='mondo' identifier='0007462' name='multiple sclerosis, susceptibility to'",,,
Dressler's syndrome,mondo:0001049,,,doid:10507,prefix='mondo' identifier='0001049' name='Dressler syndrome',,,"prefix='doid' identifier='10507' name=""Dressler's syndrome"""
Drug-induced pemphigus,,,,,,,,
Duhring-Brocq disease,mondo:0011024,,,,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",,,
Duhring's disease,mondo:0011024,,,doid:8505,"prefix='mondo' identifier='0011024' name='dermatitis herpetiformis, familial'",,,prefix='doid' identifier='8505' name='dermatitis herpetiformis'
EBA,mondo:0018747,,,,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,
EN,,,,,,,,
Encephalitis periaxialis concentrica,mondo:0016430,,,doid:10588,prefix='mondo' identifier='0016430' name='Balo concentric sclerosis',,,prefix='doid' identifier='10588' name='adrenoleukodystrophy'
Encephalopathy associated with autoimmune thyroid disease,,,,,,,,
Endometriosis Uterina,,,,,,,,
Enthesitis-related arthritis,mondo:0019437,,,,prefix='mondo' identifier='0019437' name='enthesitis-related juvenile idiopathic arthritis',,,
Enthesitis-related juvenile arthritis,,,,,,,,
Eosinophilic angiocentric fibrosis,mondo:0018676,,,,prefix='mondo' identifier='0018676' name='eosinophilic angiocentric fibrosis',,,
Eosinophilic fasciitis,mondo:0009175,,,,prefix='mondo' identifier='0009175' name='eosinophilic fasciitis',,,
Eosinophilic gastritis,mondo:0002840,,,doid:4030,prefix='mondo' identifier='0002840' name='eosinophilic gastritis',,,prefix='doid' identifier='4030' name='eosinophilic gastritis'
Eosinophilic granulomatosis with polyangiitis,mondo:0015943,,,,prefix='mondo' identifier='0015943' name='eosinophilic granulomatosis with polyangiitis',,,
Eosinophilic Oesophagitis,,,,,,,,
Epidermolysis bullosa acquisita,mondo:0018747,,,doid:4313,prefix='mondo' identifier='0018747' name='acquired epidermolysis bullosa',,,prefix='doid' identifier='4313' name='epidermolysis bullosa acquisita'
Erythema Migrans with Polyarthritis,,,,,,,,
Erythema nodosum of unknown etiology,,,,,,,,
Exciting Eye,,,,,,,,
Exophthalmic goiter,mondo:0005364,,,doid:12361,prefix='mondo' identifier='0005364' name='Graves disease',,,"prefix='doid' identifier='12361' name=""Graves' disease"""
Fatty tissue rheumatism,,,,,,,,
Felty's syndrome,mondo:0007603,,,doid:11042,prefix='mondo' identifier='0007603' name='Felty syndrome',,,"prefix='doid' identifier='11042' name=""Felty's syndrome"""
Fibromyalgia Syndrome,mondo:0005546,,,,prefix='mondo' identifier='0005546' name='fibromyalgia',,,
Fibrosing cholangitis,mondo:0018646,,,doid:14268,prefix='mondo' identifier='0018646' name='sclerosing cholangitis',,,prefix='doid' identifier='14268' name='sclerosing cholangitis'
Fiessinger-Leroy disease,mondo:0017376,,,,prefix='mondo' identifier='0017376' name='reactive arthritis',,,
Fisher syndrome,mondo:0005851,,,,prefix='mondo' identifier='0005851' name='Miller Fisher syndrome',,,
FS,mondo:0015267,uberon:0022431,cl:4310120,,prefix='mondo' identifier='0015267' name='Feingold syndrome',prefix='uberon' identifier='0022431' name='obsolete simian fossa (macaque)',prefix='cl' identifier='4310120' name='striatal pthlh-expressing interneuron (Primate)',
Gastroduodenal Crohn's disease,mondo:0000710,,,doid:0060191,prefix='mondo' identifier='0000710' name='gastroduodenal Crohn disease',,,"prefix='doid' identifier='0060191' name=""gastroduodenal Crohn's disease"""
GBS,mondo:0007691,,,,"prefix='mondo' identifier='0007691' name='Guillain-Barre syndrome, familial'",,,
GCA,mondo:0008538,,,,prefix='mondo' identifier='0008538' name='temporal arteritis',,,
Gestational pemphigoid,mondo:0006558,,,,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,
Giant cell arteritis,mondo:0008538,,,doid:13375,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Gluten rash,,,,,,,,
Gluten-induced enteropathy,mondo:0005130,,,,prefix='mondo' identifier='0005130' name='celiac disease',,,
Gluten-sensitive enteropathy,,,,,,,,
Goodpasture disease,,,,,,,,
Goodpasture syndrome,mondo:0009303,,,doid:9808,prefix='mondo' identifier='0009303' name='anti-glomerular basement membrane disease',,,prefix='doid' identifier='9808' name='Goodpasture syndrome'
Goodpasture's disease,,,,,,,,
Goodpasture's syndrome,,,,,,,,
Granulomatosis with polyangiitis,mondo:0012105,,,doid:12132,prefix='mondo' identifier='0012105' name='granulomatosis with polyangiitis',,,prefix='doid' identifier='12132' name='granulomatosis with polyangiitis'
Granulomatous arteritis,mondo:0002341,,,,prefix='mondo' identifier='0002341' name='granulomatous angiitis',,,
Graves' eye disease,mondo:0001509,,,,prefix='mondo' identifier='0001509' name='endocrine exophthalmos',,,
Graves' hyperthyroidism,mondo:0005364,,,,prefix='mondo' identifier='0005364' name='Graves disease',,,
Graves ophthalmopathy,,,,doid:0081120,,,,prefix='doid' identifier='0081120' name='Graves ophthalmopathy'
Graves' ophthalmopathy,mondo:0001509,,,,prefix='mondo' identifier='0001509' name='endocrine exophthalmos',,,
Graves' orbitopathy,mondo:0001509,,,,prefix='mondo' identifier='0001509' name='endocrine exophthalmos',,,
Guillain-Barre Syndrome,mondo:0016218,,,doid:12842,prefix='mondo' identifier='0016218' name='Guillain-Barre syndrome',,,prefix='doid' identifier='12842' name='Guillain-Barre syndrome'
Guttate psoriasis,mondo:0023297,,,,prefix='mondo' identifier='0023297' name='guttate psoriasis',,,
Hashimoto thyroiditis,mondo:0007699,,,doid:7188,prefix='mondo' identifier='0007699' name='Hashimoto thyroiditis',,,prefix='doid' identifier='7188' name='autoimmune thyroiditis'
Hashimoto's disease,mondo:0007699,,,doid:7188,prefix='mondo' identifier='0007699' name='Hashimoto thyroiditis',,,prefix='doid' identifier='7188' name='autoimmune thyroiditis'
Hashimoto's encephalitis,mondo:0019385,,,,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Hashimoto's encephalopathy,mondo:0019385,,,,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Hashimoto's thyroiditis,mondo:0007699,,,doid:7188,prefix='mondo' identifier='0007699' name='Hashimoto thyroiditis',,,prefix='doid' identifier='7188' name='autoimmune thyroiditis'
Hench-Rosenberg syndrome,mondo:0001332,,,doid:1166,prefix='mondo' identifier='0001332' name='palindromic rheumatism',,,prefix='doid' identifier='1166' name='palindromic rheumatism'
Hench's syndrome,mondo:0001332,,,doid:1166,prefix='mondo' identifier='0001332' name='palindromic rheumatism',,,prefix='doid' identifier='1166' name='palindromic rheumatism'
Henoch-Schonlein purpura,mondo:0019167,,,doid:11123,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,prefix='doid' identifier='11123' name='IgA vasculitis'
Henoch-Schönlein purpura,mondo:0019167,,,doid:11123,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,prefix='doid' identifier='11123' name='IgA vasculitis'
Horton's disease,mondo:0008538,,,doid:13375,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Hughes Stovin syndrome,,,,,,,,
Hughes syndrome,mondo:8000010,,,,prefix='mondo' identifier='8000010' name='antiphospholipid syndrome',,,
Hughes-Stovin syndrome,mondo:0016425,,,,prefix='mondo' identifier='0016425' name='Hughes-Stovin syndrome',,,
Hurst's disease,,,,,,,,
Hyper-IgG4 disease,mondo:0017287,,,,prefix='mondo' identifier='0017287' name='immunoglobulin G4-related sclerosing disease',,,
Hypersensitivity Vasculitis,mondo:0006794,,,doid:9809,prefix='mondo' identifier='0006794' name='hypersensitivity vasculitis',,,prefix='doid' identifier='9809' name='hypersensitivity vasculitis'
IBM,mondo:0007827,,,,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,
IC,,,cl:4070012,,,,prefix='cl' identifier='4070012' name='inferior cardiac neuron',
Idiopathic autoimmune hemolytic anemia,mondo:0020108,,,,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
Idiopathic brachial neuritis,,,,,,,,
Idiopathic brachial plexus neuropathy,,,,,,,,
Idiopathic dilated cardiomyopathy,mondo:0016333,,,,prefix='mondo' identifier='0016333' name='familial dilated cardiomyopathy',,,
Idiopathic erythema nodosum,,,,,,,,
Idiopathic hemifacial atrophy,,,,,,,,
Idiopathic hypocomplementemic tubulointerstitial nephritis,,,,,,,,
Idiopathic inflammatory myopathies,mondo:0600023,,,,prefix='mondo' identifier='0600023' name='idiopathic inflammatory myopathy',,,
Idiopathic inflammatory myopathy,mondo:0600023,,,,prefix='mondo' identifier='0600023' name='idiopathic inflammatory myopathy',,,
idiopathic interstitial pneumonia,mondo:0002429,,,doid:2797,prefix='mondo' identifier='0002429' name='idiopathic interstitial pneumonia',,,prefix='doid' identifier='2797' name='idiopathic interstitial pneumonia'
Idiopathic pure red cell aplasia,mondo:0020338,,,,prefix='mondo' identifier='0020338' name='adult pure red cell aplasia',,,
Idiopathic retroperitoneal Fibrosis,mondo:0018848,,,,prefix='mondo' identifier='0018848' name='IgG4-related retroperitoneal fibrosis',,,
Idiopathic thrombocytopenic purpura,mondo:0008558,,,doid:8924,prefix='mondo' identifier='0008558' name='autoimmune thrombocytopenic purpura',,,prefix='doid' identifier='8924' name='autoimmune thrombocytopenic purpura'
Idiopathic uveitis,,,,,,,,
IgA vasculitis,mondo:0019167,,,doid:11123,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,prefix='doid' identifier='11123' name='IgA vasculitis'
IgG4 deficiency,,,,,,,,
IgG4-related diseases,mondo:0017287,,,doid:0080356,prefix='mondo' identifier='0017287' name='immunoglobulin G4-related sclerosing disease',,,prefix='doid' identifier='0080356' name='IgG4-related disease'
IgG4-related retroperitoneal fibrosis,mondo:0018848,,,,prefix='mondo' identifier='0018848' name='IgG4-related retroperitoneal fibrosis',,,
IgG4-related sclerosing cholangitis,mondo:0018645,,,,prefix='mondo' identifier='0018645' name='IgG4-related sclerosing cholangitis',,,
IgG4-related systemic disease,mondo:0017287,,,,prefix='mondo' identifier='0017287' name='immunoglobulin G4-related sclerosing disease',,,
Ileocolitis,mondo:0005534,,,doid:0060190,prefix='mondo' identifier='0005534' name='ileocolitis',,,prefix='doid' identifier='0060190' name='ileocolitis'
Illeitis,,,,,,,,
Immune hemolytic anemia,,,,,,,,
Immunohemolytic anemia,mondo:0020108,,,,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
Infertility due to antisperm antibodies,,,,,,,,
Inflammatory aortic aneurysm,,,,,,,,
Inflammatory pseudotumor,mondo:0015798,,,,prefix='mondo' identifier='0015798' name='inflammatory myofibroblastic tumor',,,
Inflammatory rheumatism,mondo:0005554,,,,prefix='mondo' identifier='0005554' name='rheumatic disorder',,,
Insulin dependent Diabetes,mondo:0005147,,,,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Interstitial pneumonia,,,,,,,,
Interstitial pulmonary fibrosis,,,,,,,,
Isaacs' syndrome,mondo:0019399,,,,prefix='mondo' identifier='0019399' name='Isaac syndrome',,,
Isaacs-Mertens syndrome,mondo:0008047,,,,prefix='mondo' identifier='0008047' name='episodic ataxia type 1',,,
Issacs' syndrome,,,,,,,,
ITP,mondo:0008558,,,,prefix='mondo' identifier='0008558' name='autoimmune thrombocytopenic purpura',,,
IU,mondo:0006806,,,,prefix='mondo' identifier='0006806' name='intermediate uveitis',,,
Jejunoileitis,mondo:0000708,,,doid:0060188,prefix='mondo' identifier='0000708' name='Crohn jejunoileitis',,,prefix='doid' identifier='0060188' name='jejunoileitis'
JIA,mondo:0011429,,,,prefix='mondo' identifier='0011429' name='juvenile idiopathic arthritis',,,
JRA,mondo:0005185,,,,prefix='mondo' identifier='0005185' name='chronic childhood arthritis',,,
Juvenile arthritis,mondo:0032920,,,,prefix='mondo' identifier='0032920' name='juvenile arthritis due to defect in LACC1',,,
Juvenile chronic arthritis,mondo:0011429,,,,prefix='mondo' identifier='0011429' name='juvenile idiopathic arthritis',,,
Juvenile dermatomyositis,mondo:0008054,,,doid:14203,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,prefix='doid' identifier='14203' name='childhood type dermatomyositis'
Juvenile diabetes,mondo:0005147,,,,prefix='mondo' identifier='0005147' name='type 1 diabetes mellitus',,,
Juvenile idiopathic arthritis,mondo:0011429,,,doid:676,prefix='mondo' identifier='0011429' name='juvenile idiopathic arthritis',,,prefix='doid' identifier='676' name='systemic juvenile rheumatoid arthritis'
Juvenile myositis,mondo:0008054,,,,prefix='mondo' identifier='0008054' name='juvenile dermatomyositis',,,
Juxta-Articular adiposis dolorosa,,,,,,,,
Kawasaki syndrome,mondo:0012727,,,,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,
Kawasaki's disease,mondo:0012727,,,doid:13378,prefix='mondo' identifier='0012727' name='Kawasaki disease',,,prefix='doid' identifier='13378' name='Kawasaki disease'
Keratoconjunctivitis sicca,mondo:0006733,,,doid:12895,prefix='mondo' identifier='0006733' name='dry eye syndrome',,,prefix='doid' identifier='12895' name='keratoconjunctivitis sicca'
Kinsbourne syndrome,mondo:0015247,,,,prefix='mondo' identifier='0015247' name='opsoclonus-myoclonus syndrome',,,
Küttner's tumor,mondo:0018674,,,,prefix='mondo' identifier='0018674' name='IgG4-related submandibular gland disease',,,
Lambert-Eaton myasthenic syndrome,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Lambert-Eaton syndrome,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
lcSSc,mondo:0019563,,,,prefix='mondo' identifier='0019563' name='CREST syndrome',,,
LCV,,,,,,,,
LEMS,mondo:0018556,,,doid:0050214,prefix='mondo' identifier='0018556' name='Lambert-Eaton myasthenic syndrome',,,prefix='doid' identifier='0050214' name='Lambert-Eaton myasthenic syndrome'
Leucocytoclastic vasculitis,,,,,,,,
Leukoderma,,,,,,,,
Leukoencephalitis periaxialis concentric,,,,,,,,
Lichen sclerosus et atrophicus,mondo:0007899,,,,prefix='mondo' identifier='0007899' name='lichen sclerosus et atrophicus',,,
Limbic encephalitis with N-methyl-D-aspartate receptor antibodies,mondo:0021081,,,,prefix='mondo' identifier='0021081' name='anti-NMDA receptor encephalitis',,,
Limited cutaneous systemic sclerosis,mondo:0016358,,,doid:1577,prefix='mondo' identifier='0016358' name='limited cutaneous systemic sclerosis',,,prefix='doid' identifier='1577' name='limited scleroderma'
Linear IgA bullous disease,,,,,,,,
Linear IgA disease,,,,,,,,
Lipomatosis dolorosa morbus dercum's,,,,,,,,
Localized scleroderma,mondo:0019562,,,doid:8472,prefix='mondo' identifier='0019562' name='localized scleroderma',,,prefix='doid' identifier='8472' name='localized scleroderma'
Lofgrens syndrome,mondo:0020666,,,,prefix='mondo' identifier='0020666' name='Löfgren syndrome',,,
Long COVID,,,,doid:0080848,,,,prefix='doid' identifier='0080848' name='long COVID'
Lupus,mondo:0007915,,,doid:8857,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='8857' name='lupus erythematosus'
Lupus anticoagulant syndrome,,,,,,,,
Lupus erythematosus tumidus,mondo:0019560,,,,prefix='mondo' identifier='0019560' name='lupus erythematosus tumidus',,,
Lupus nephritis,mondo:0005556,,,doid:0080162,prefix='mondo' identifier='0005556' name='lupus nephritis',,,prefix='doid' identifier='0080162' name='lupus nephritis'
Lupus pernio,,,,,,,,
Lyme Arthritis,,,,,,,,
Lyme Borreliosis,mondo:0019632,,,doid:11729,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Lyme disease,mondo:0019632,,,doid:11729,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Lymph node syndrome,,,,,,,,
Lymphoplasmocytic sclerosing pancreatitis,mondo:0015175,,,,prefix='mondo' identifier='0015175' name='autoimmune pancreatitis',,,
Macrocytic Anemia,mondo:0002281,,,doid:2361,prefix='mondo' identifier='0002281' name='macrocytic anemia',,,prefix='doid' identifier='2361' name='macrocytic anemia'
MCTD,mondo:0005854,,,,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,
Mediastinal fibrosis,mondo:0018978,,,,prefix='mondo' identifier='0018978' name='IgG4-related mediastinitis',,,
Megaloblastic Anemia,mondo:0001700,,,doid:13382,prefix='mondo' identifier='0001700' name='megaloblastic anemia',,,prefix='doid' identifier='13382' name='megaloblastic anemia'
Ménière's disease,mondo:0007972,,,doid:9849,prefix='mondo' identifier='0007972' name='Meniere disease',,,"prefix='doid' identifier='9849' name=""Meniere's disease"""
Meyenburg-Altherr-Uehlinger syndrome,,,,,,,,
MFS,mondo:0007947,uberon:0014618,,,prefix='mondo' identifier='0007947' name='Marfan syndrome',prefix='uberon' identifier='0014618' name='middle frontal sulcus',,
MG,mondo:0009688,,,,prefix='mondo' identifier='0009688' name='myasthenia gravis',,,
